original_path,new_path,sha256,generating_script,reason,usable_for_paper
data/processed/baseline_experiment_results.csv,data/processed/invalidated/legacy_v1/baseline_experiment_results.csv,d5317de04d9b1dbeb3571b1e93aed70a35b143b88711387fc61a73103ef4f182,src/sim/experiment.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/baseline_strategy_summary.csv,data/processed/invalidated/legacy_v1/baseline_strategy_summary.csv,d162fcbb35b1aaef139faa0d2406ad538701cb4cab9cd4bafd0bff689d3c088f,src/sim/experiment.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/rl_vs_baselines_comparison.csv,data/processed/invalidated/legacy_v1/rl_vs_baselines_comparison.csv,7a1addf97f96b98f58f8a2214a177ca7df481e16265f7de1ee1a25c1a5353e52,src/rl/train_ppo.py + src/rl/evaluate_policy.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/leave_one_out_transfer.csv,data/processed/invalidated/legacy_v1/leave_one_out_transfer.csv,715136444f71bb40c44749bcaef6aee6963eaa644a9fd5f434a4a4cd2c4da5b3,src/transfer/leave_one_out.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/instance_weighted_transfer.csv,data/processed/invalidated/legacy_v1/instance_weighted_transfer.csv,5d94726a7bba47170b963f15b9234e135609c2edcb612393949a527786452421,src/transfer/instance_weighted.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/ppo_irrigation_final.zip,data/processed/invalidated/legacy_v1/ppo_irrigation_final.zip,5a538bb6962fd970a6513d23a84da2a0bca8edfb877ddd6e07fa073a2f5151bb,src/rl/train_ppo.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/ppo_irrigation_v2_final.zip,data/processed/invalidated/legacy_v1/ppo_irrigation_v2_final.zip,0dc0319424f538e843d7e4c57b1dbca4340c03dd7a4b4558bba6da392d39cf27,src/rl/train_ppo.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/ppo_irrigation_v2_final_vecnormalize.pkl,data/processed/invalidated/legacy_v1/ppo_irrigation_v2_final_vecnormalize.pkl,15bef295596570765f40c74f7f2ed508ca118c4875daafdfd83fd56315eae9e7,src/rl/train_ppo.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/ppo_learning_curve.csv,data/processed/invalidated/legacy_v1/ppo_learning_curve.csv,19a6517c6e58be4d4bc59309247b06ccc4a83272d22473bac5013a472734ba27,src/rl/reconstruct_learning_curve.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
data/processed/pareto_front_beijing_plain_loam.csv,data/processed/invalidated/legacy_v1/pareto_front_beijing_plain_loam.csv,1039fdb6306824b4bd3efd52f1fc5b390b4c0230b1472aaf5e8d545ceaa83e36,src/sim/optimize_nsga2.py,"single-season prototype: each crop simulated in isolation starting near field capacity, no rotation chain / annual quota / fallow bridge; invalidated by the system upgrade (docs/系统升级方案.md) and audit-v2 fixes (P0-1/P0-2); prototype only, not for final claims",no
